"player_id","first_name","last_name","position","team_id","game_id","league","toi","time_on_ice","saves","goals_against","shots_against","goals","assists","points","penalty_minutes","faceoff_attempts","faceoff_wins","faceoff_losses","faceoff_pct","starting"
"41","Abigail","Levy","G",4,51,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"19","Emma","Söderberg","G",1,65,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"6","Aerin","Frankel","G",1,65,"pwhl","65:00",65,25,1,26,0,0,0,0,0,0,0,NA,1
"48","Sandra","Abstreiter","G",5,65,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"59","Emerance","Maschmeyer","G",5,65,"pwhl","65:00",65,25,1,26,0,0,0,0,0,0,0,NA,1
"85","Elaine","Chuli","G",3,66,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"28","Ann-Renée","Desbiens","G",3,66,"pwhl","59:28",59.5,24,2,26,0,0,0,0,0,0,0,NA,1
"70","Erica","Howe","G",6,66,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"64","Kristen","Campbell","G",6,66,"pwhl","60:00",60,17,1,18,0,0,0,0,0,0,0,NA,1
"155","Corinne","Schroeder","G",4,53,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"41","Abigail","Levy","G",4,53,"pwhl","59:29",59.5,26,2,28,0,0,0,0,0,0,0,NA,1
"48","Sandra","Abstreiter","G",5,53,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"59","Emerance","Maschmeyer","G",5,53,"pwhl","60:00",60,26,0,26,0,0,0,0,0,0,0,NA,1
"70","Erica","Howe","G",6,52,"pwhl","59:57",60,28,1,29,0,0,0,0,0,0,0,NA,1
"64","Kristen","Campbell","G",6,52,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"19","Emma","Söderberg","G",1,52,"pwhl","58:02",58,19,2,21,0,0,0,0,0,0,0,NA,1
"6","Aerin","Frankel","G",1,52,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"48","Sandra","Abstreiter","G",5,54,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"59","Emerance","Maschmeyer","G",5,54,"pwhl","60:00",60,19,3,22,0,0,0,0,0,0,0,NA,1
"70","Erica","Howe","G",6,54,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"64","Kristen","Campbell","G",6,54,"pwhl","59:43",59.7,20,4,24,0,0,0,0,0,0,0,NA,1
"22","Nicole","Hensley","G",2,55,"pwhl","65:00",65,21,2,23,0,0,0,0,0,0,0,NA,1
"123","Maddie","Rooney","G",2,55,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"85","Elaine","Chuli","G",3,55,"pwhl","64:44",64.7,33,2,35,0,0,0,0,0,0,0,NA,1
"28","Ann-Renée","Desbiens","G",3,55,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"155","Corinne","Schroeder","G",4,56,"pwhl","60:00",60,29,2,31,0,0,0,0,0,0,0,NA,1
"41","Abigail","Levy","G",4,56,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"19","Emma","Söderberg","G",1,56,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"6","Aerin","Frankel","G",1,56,"pwhl","60:00",60,31,3,34,0,0,0,0,0,0,0,NA,1
